signal_ts,entry_ts,direction,structural_stop,atr_buffer,stop,stop_distance,ref_close,atr15,spread,zone_id,zone_lo,zone_hi,zone_touches,setup,session,regime,bars_to_retest,retest_completed,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2017-04-10 17:45:00+00:00,2017-04-10 18:00:00+00:00,1,1251.04,0.699,1250.341,2.528,1252.869,1.398,0.262,349,1252.364,1255.748,2,retest,newyork,bull,7,True,0.9687,0.0158,0.0154,0.9842,1.294
2017-04-21 13:00:00+00:00,2017-04-21 13:15:00+00:00,1,1280.22,0.573,1279.647,4.0,1283.647,1.146,0.2362,359,1280.22,1283.221,2,retest,overlap,bull,8,True,0.5932,0.0943,0.3125,0.9057,1.957
2017-04-21 14:30:00+00:00,2017-04-21 14:45:00+00:00,1,1279.139,0.777,1278.362,5.529,1283.891,1.554,0.2223,359,1280.22,1283.221,2,retest,overlap,bull,2,True,0.6875,0.1713,0.1411,0.8287,3.876
2017-05-31 13:30:00+00:00,2017-05-31 13:45:00+00:00,1,1262.681,0.528,1262.153,3.057,1265.21,1.055,0.2179,374,1262.681,1266.284,2,retest,overlap,bull,6,True,0.4945,0.0851,0.4204,0.9149,1.175
2017-05-31 18:30:00+00:00,2017-05-31 18:45:00+00:00,1,1268.241,0.759,1267.482,3.667,1271.149,1.518,0.2362,377,1268.6,1271.498,2,retest,newyork,bull,6,True,0.9727,0.0141,0.0132,0.9859,1.099
2017-05-31 20:30:00+00:00,2017-05-31 20:45:00+00:00,1,1268.088,0.653,1267.435,1.747,1269.181,1.307,0.2861,377,1268.6,1271.498,2,retest,newyork,bull,7,True,0.5983,0.1452,0.2565,0.8548,0.768
2017-06-01 12:30:00+00:00,2017-06-01 12:45:00+00:00,1,1261.59,0.619,1260.971,3.213,1264.184,1.238,0.2429,374,1262.681,1266.284,2,retest,overlap,bull,8,True,0.952,0.0,0.048,1.0,1.634
2017-08-09 13:15:00+00:00,2017-08-09 13:30:00+00:00,1,1268.115,0.829,1267.286,5.92,1273.206,1.658,0.2341,406,1269.825,1274.002,3,retest,overlap,bull,4,True,0.3039,0.0,0.6961,1.0,2.231
2017-08-09 16:45:00+00:00,2017-08-09 17:00:00+00:00,1,1269.825,0.757,1269.068,3.842,1272.91,1.514,0.2505,406,1269.825,1274.002,3,retest,newyork,bull,6,True,0.6395,0.0677,0.2928,0.9323,1.056
2017-09-05 20:30:00+00:00,2017-09-05 20:45:00+00:00,1,1337.369,0.875,1336.495,3.297,1339.792,1.749,0.2581,423,1337.369,1341.188,2,retest,newyork,bull,8,True,0.6771,0.2982,0.0246,0.7018,1.42
2017-09-07 13:15:00+00:00,2017-09-07 13:30:00+00:00,1,1337.369,0.972,1336.398,5.932,1342.33,1.943,0.2221,423,1337.369,1341.188,2,retest,overlap,bull,3,True,0.8073,0.0637,0.129,0.9363,1.883
2018-01-10 12:45:00+00:00,2018-01-10 13:00:00+00:00,1,1320.425,0.998,1319.426,3.188,1322.614,1.997,0.2162,470,1320.425,1323.36,2,retest,london,bull,7,True,0.0901,0.2951,0.6147,0.7049,1.598
2018-01-11 19:30:00+00:00,2018-01-11 19:45:00+00:00,1,1320.425,0.598,1319.826,3.798,1323.624,1.197,0.2191,470,1320.425,1323.36,2,retest,newyork,bull,2,True,0.8161,0.1452,0.0387,0.8548,0.906
2018-01-18 15:45:00+00:00,2018-01-18 16:00:00+00:00,1,1324.717,0.739,1323.978,5.785,1329.764,1.479,0.2149,472,1324.717,1329.168,2,retest,overlap,bull,8,True,0.2235,0.1026,0.6739,0.8974,1.15
2018-01-25 20:30:00+00:00,2018-01-25 20:45:00+00:00,1,1342.568,1.678,1340.891,6.201,1347.092,3.356,0.2402,474,1342.831,1346.009,2,retest,newyork,bull,3,True,0.3056,0.0996,0.5948,0.9004,3.344
2018-01-29 09:30:00+00:00,2018-01-29 09:45:00+00:00,1,1342.831,0.655,1342.176,4.958,1347.134,1.311,0.1987,474,1342.831,1346.009,2,retest,london,bull,3,True,0.4422,0.1573,0.4005,0.8427,1.7
2018-02-02 15:15:00+00:00,2018-02-02 15:30:00+00:00,1,1328.328,1.07,1327.258,2.762,1330.02,2.14,0.2109,475,1329.939,1336.021,4,retest,overlap,bull,4,True,0.0131,0.2603,0.7266,0.7397,2.287
2018-04-06 20:45:00+00:00,2018-04-08 22:00:00+00:00,1,1328.965,0.668,1328.297,5.028,1333.325,1.335,0.331,494,1328.965,1333.441,3,retest,newyork,bull,3,True,0.4318,0.1212,0.447,0.8788,0.66
2018-04-18 12:45:00+00:00,2018-04-18 13:00:00+00:00,1,1348.343,0.763,1347.58,5.656,1353.236,1.525,0.2199,503,1349.158,1352.39,2,retest,overlap,bull,2,True,0.8763,0.059,0.0646,0.941,1.601
2018-04-18 15:00:00+00:00,2018-04-18 15:15:00+00:00,1,1348.34,0.991,1347.349,4.308,1351.657,1.982,0.2543,503,1349.158,1352.39,2,retest,overlap,bull,4,True,0.6392,0.0619,0.2989,0.9381,1.341
2018-04-19 08:15:00+00:00,2018-04-19 08:30:00+00:00,1,1349.158,0.58,1348.578,3.7,1352.278,1.159,0.2184,503,1349.158,1352.39,2,retest,london,bull,7,True,0.2227,0.3261,0.4512,0.6739,1.275
2018-04-19 09:30:00+00:00,2018-04-19 09:45:00+00:00,1,1344.865,0.787,1344.077,4.674,1348.751,1.575,0.2138,503,1349.158,1352.39,2,retest,london,bull,3,True,0.1191,0.0303,0.8506,0.9697,1.436
2018-07-10 13:30:00+00:00,2018-07-10 13:45:00+00:00,-1,1255.8,0.676,1256.476,2.326,1254.149,1.351,0.2061,544,1250.375,1253.888,2,retest,overlap,bear,11,True,0.6301,0.3506,0.0193,0.0193,1.683
2018-07-10 16:30:00+00:00,2018-07-10 16:45:00+00:00,-1,1256.586,0.581,1257.167,1.909,1255.258,1.163,0.2402,541,1253.469,1256.586,2,retest,newyork,bear,11,True,0.5941,0.2021,0.2038,0.2038,0.9
2018-07-11 12:15:00+00:00,2018-07-11 12:30:00+00:00,-1,1253.888,0.556,1254.444,4.298,1250.146,1.113,0.2373,544,1250.375,1253.888,2,retest,overlap,bear,11,True,0.5401,0.1484,0.3115,0.3115,1.365
2018-07-26 08:45:00+00:00,2018-07-26 09:00:00+00:00,-1,1230.683,0.525,1231.209,2.964,1228.245,1.051,0.2143,551,1227.471,1230.683,3,retest,london,bear,2,True,0.693,0.1149,0.1921,0.1921,0.57
2018-07-26 13:15:00+00:00,2018-07-26 13:30:00+00:00,-1,1230.825,0.588,1231.413,3.853,1227.56,1.176,0.2227,551,1227.471,1230.683,3,retest,overlap,bear,2,True,0.148,0.7148,0.1371,0.1371,1.651
