signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held,structural_stop,atr_buffer,stop_distance,atr15,spread,zone_lo,zone_hi,zone_touches,regime,bars_to_retest,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2017-09-07 13:15:00+00:00,2017-09-07 13:30:00+00:00,2017-09-08 05:00:00+00:00,BUY,overlap,rejection,423,1342.469,1336.398,1354.611,1354.611,target,6.071,4.0364,49.01,2.0,9850.89,58.0,1337.369,0.972,5.932,1.943,0.2221,1337.369,1341.188,2,bull,,0.8073,0.0637,0.129,0.9363,1.883
2017-10-27 14:45:00+00:00,2017-10-27 15:00:00+00:00,2017-10-30 13:24:00+00:00,SELL,overlap,rejection,436,1269.341,1274.574,1258.875,1274.624,stop,5.233,4.7061,-24.86,-1.01,9826.02,,1273.646,0.928,5.074,1.855,0.2229,1269.662,1273.646,3,bull,,0.7263,0.0938,0.1799,0.1799,2.19
2018-01-11 19:00:00+00:00,2018-01-11 19:15:00+00:00,2018-01-12 09:02:00+00:00,BUY,newyork,rejection,470,1323.558,1319.799,1331.076,1331.076,target,3.759,6.535,49.13,2.0,9875.15,,1320.425,0.626,3.586,1.252,0.2222,1320.425,1323.36,2,bull,,0.814,0.0927,0.0933,0.9073,0.97
2018-01-12 15:30:00+00:00,2018-01-12 15:45:00+00:00,2018-01-17 23:30:00+00:00,BUY,overlap,rejection,472,1330.849,1323.858,1344.831,1328.071,timeout,6.991,3.5314,-9.81,-0.397,9865.34,288.0,1324.717,0.859,6.82,1.719,0.2211,1324.717,1329.168,2,bull,,0.9132,0.0649,0.022,0.9351,2.026
2018-01-18 15:45:00+00:00,2018-01-18 16:00:00+00:00,2018-01-23 19:00:00+00:00,BUY,overlap,rejection,472,1329.928,1323.978,1341.828,1337.921,timeout,5.95,4.1451,33.13,1.343,9898.47,288.0,1324.717,0.739,5.785,1.479,0.2149,1324.717,1329.168,2,bull,,0.2235,0.1026,0.6739,0.8974,1.15
2018-01-25 19:45:00+00:00,2018-01-25 20:00:00+00:00,2018-01-29 15:53:00+00:00,BUY,newyork,rejection,474,1347.939,1340.961,1361.895,1340.911,stop,6.978,3.5463,-24.92,-1.007,9873.55,,1342.568,1.607,6.857,3.214,0.2356,1342.831,1346.009,2,bull,,0.4071,0.0317,0.5611,0.9683,5.422
2018-01-30 14:00:00+00:00,2018-01-30 14:15:00+00:00,2018-01-30 15:57:00+00:00,BUY,overlap,rejection,474,1348.362,1341.554,1361.978,1341.504,stop,6.808,3.6257,-24.87,-1.007,9848.69,,1342.388,0.834,6.648,1.669,0.2115,1342.831,1346.009,2,bull,,0.6582,0.2299,0.1119,0.7701,3.321
2018-02-02 14:15:00+00:00,2018-02-02 14:30:00+00:00,2018-02-02 15:17:00+00:00,BUY,overlap,rejection,475,1336.619,1328.977,1351.903,1328.927,stop,7.642,3.2219,-24.78,-1.007,9823.9,,1329.939,0.962,7.508,1.925,0.224,1329.939,1336.021,4,bull,,0.4105,0.1555,0.434,0.8445,2.842
2018-02-02 15:15:00+00:00,2018-02-02 15:30:00+00:00,2018-02-06 02:00:00+00:00,BUY,overlap,rejection,472,1330.161,1323.648,1343.187,1343.187,target,6.513,3.7709,49.12,2.0,9873.02,130.0,1324.717,1.07,6.372,2.14,0.2109,1324.717,1329.168,2,bull,,0.0131,0.2603,0.7266,0.7397,2.287
2018-02-26 14:45:00+00:00,2018-02-26 15:00:00+00:00,2018-02-27 13:07:00+00:00,BUY,overlap,rejection,494,1334.258,1329.715,1343.344,1329.665,stop,4.543,5.4331,-24.95,-1.011,9848.07,,1330.479,0.764,4.305,1.527,0.2163,1330.638,1333.379,2,bull,,0.5987,0.3241,0.0772,0.6759,2.635
